Date,southern,northern,central,east_coast,borneo,temp_s,rain_s,rh_s,temp_n,rain_n,rh_n,temp_c,rain_c,rh_c,temp_ec,rain_ec,rh_ec,temp_b,rain_b,rh_b
1/1/2009,2,3,0,0,22,26.05333333,85.9,13.85333333,26.2375,82.33333333,17.675,26.76666667,80.4,23.46666667,24.90666667,89.19777778,34.96888889,26.68452381,83.16071429,4.1083
2/1/2009,2,1,1,0,21,26.04,83.81333333,17.34666667,26.31666667,81.40416667,4.483333333,26.53333333,78.96666667,1.2,25.02888889,88.83777778,30.07111111,26.53928571,85.43214286,36.0875
3/1/2009,1,1,2,0,14,25.20666667,88.59333333,11.76,24.9125,87.09166667,7.616666667,25.06666667,88.46666667,17.26666667,24.18222222,92.60666667,58.48888889,25.91309524,88.19761905,35.93333333
4/1/2009,0,2,1,0,33,25.67333333,81.49333333,6.053333333,26.12083333,80.6625,9.2,26.2,81.3,0,24.69777778,91.51777778,64.72888889,25.91904762,88.55873016,13.85
5/1/2009,4,2,4,2,53,26.2,76.06,0.6,26.7375,77.225,0.583333333,27.16666667,76.23333333,0.066666667,25.34,88.94666667,44.34666667,26.38690476,83.90952381,34.07083333
6/1/2009,2,2,9,1,55,26.61333333,74.58666667,0.026666667,27.19583333,76.67083333,0,26.76666667,76.7,2.533333333,25.54888889,85.01333333,10.73333333,25.96071429,89.16547619,21.2375
7/1/2009,3,0,11,2,49,26.28,74.78,0.013333333,27.10833333,73.75416667,3.266666667,26.8,75.4,0.2,25.57111111,82.90666667,4.288888889,26.2,86.67857143,13.57083333
8/1/2009,0,1,1,0,45,25.96666667,74.51333333,0.146666667,27.04166667,73.98333333,3.041666667,26.33333333,79.26666667,18.06666667,25.20666667,84.41555556,3.946666667,26.56190476,86.39880952,12.2125
9/1/2009,0,1,1,2,106,26.52,74.82666667,0.08,26.7875,70.4,0,26,80.2,7.266666667,25.13111111,81.46,0.377777778,26.39761905,87.33928571,39.01666667
10/1/2009,0,2,2,2,32,25.57333333,76.3,0.306666667,25.89166667,68.75833333,0,25.76666667,78.46666667,0,24.13777778,81.26222222,0.04,25.33095238,89.37380952,40.25416667
11/1/2009,1,1,0,2,24,25.9,76.94666667,1.133333333,25.72916667,70.39583333,0,25.7,75.1,0,24.25333333,82.3,25.84444444,25.40952381,88.53690476,41.69583333
12/1/2009,3,3,2,2,52,26.33333333,74.18,0.12,25.82916667,73.4625,2.766666667,26.03333333,75.26666667,0.133333333,23.76888889,86.92444444,61.38666667,24.51904762,91.71428571,31.72083333
13/1/2009,1,1,9,1,69,26.48666667,73.82,0.613333333,26.2,73.13333333,1.175,26.66666667,67.9,0.066666667,23.72888889,92.02222222,54.05777778,24.70833333,90.75357143,32.21666667
14/1/2009,0,1,3,1,53,26.36666667,72.28,0.333333333,26.16666667,70.42916667,5.083333333,26.4,68.4,0.8,23.66666667,89.64888889,18.49333333,25.61428571,85.95357143,12
15/1/2009,0,3,4,0,46,25.76666667,70.5,0,26.10416667,67.575,0.166666667,26.7,65.4,0,24.37333333,85.88666667,15.30666667,25.86309524,84.90119048,8.158333333
16/1/2009,1,1,6,0,57,25.60666667,70.14666667,0,25.97083333,69.70833333,0.958333333,26.83333333,67.4,0.266666667,23.62666667,85.70666667,20.45333333,26.10238095,83.06309524,7.05
17/1/2009,0,2,0,0,35,26.3,67.37333333,0,26.49166667,72.23333333,1.533333333,27.66666667,64.33333333,0,24.53777778,85.05111111,3.355555556,26.4452381,81.43571429,12.89166667
